代码,名称,时间,每股收益,每股净资产,净资产收益率,资产负债率,流动比率,总资产周转率,yield
000595.SZ,宝塔实业,2018/3/31,0.01,0.92,0.897,61.1,1.06,0.0496,-22.3
000596.SZ,古井贡酒,2018/3/31,1.15,13.9,8.62,35.5,1.95,0.236,53
000597.SZ,东北制药,2018/3/31,0.11,5.24,2.12,77,0.888,0.181,32.2
000598.SZ,兴蓉环境,2018/3/31,0.0773,3.32,2.36,44.1,0.854,0.0476,-17.8
000599.SZ,青岛双星,2018/3/31,0.03,4.46,0.83,60,1.21,0.11,-17.3
000600.SZ,建投能源,2018/3/31,0.112,6.07,1.86,58,0.623,0.125,-21.9
000601.SZ,韶能股份,2018/3/31,0.0935,4.22,2.24,49.7,0.845,0.0791,-36.4
000603.SZ,盛达资源,2018/3/31,0.1,3.63,2.72,12.9,2.33,0.0544,-4.58
000605.SZ,渤海股份,2018/3/31,0.035,8.12,0.431,59.2,0.819,0.0597,-31
000606.SZ,ST顺利,2018/3/31,0.054,3.66,1.49,21.1,1.67,0.0401,-8.21
000607.SZ,华媒控股,2018/3/31,-0.0129,1.76,-0.73,36.6,1.46,0.105,-23.9
000608.SZ,阳光股份,2018/3/31,-0.04,3.94,-0.983,47.6,2.47,0.00956,-9.63
000609.SZ,*ST中迪,2018/3/31,-0.04,5.23,-0.701,24.9,3.57,0.00287,-32.5
000610.SZ,西安旅游,2018/3/31,-0.0215,3.25,-0.66,32.1,1.92,0.0837,-40.2
000611.SZ,*ST天首,2018/3/31,-0.0277,1.58,-1.74,60.2,0.0299,0.00269,-6.66
000612.SZ,焦作万方,2018/3/31,-0.077,3.87,-1.96,37.2,0.53,0.136,-28
000613.SZ,*ST东海A,2018/3/31,0.0054,0.217,2.53,11.1,1.93,0.112,-19
000615.SZ,奥园美谷,2018/3/31,-0.0558,2.44,-2.27,71.2,1.91,0.0293,-39.1
000616.SZ,ST海投,2018/3/31,-0.04,2.74,-1.34,57.4,3.32,0.00143,0
000617.SZ,中油资本,2018/3/31,0.21,8.11,2.67,83.6,0.82,0.00954,-16.2
000619.SZ,海螺型材,2018/3/31,-0.0426,6.74,-0.63,25.4,2.26,0.142,-12.5
000620.SZ,新华联,2018/3/31,0.02,3.42,0.605,83.8,1.6,0.0204,-7.35
000622.SZ,恒立实业,2018/3/31,-0.006,0.435,-1.36,48.7,2.38,0.0341,-26.4
000623.SZ,吉林敖东,2018/3/31,0.28,17.6,1.57,12.9,5.64,0.0306,-11.2
000625.SZ,长安汽车,2018/3/31,0.29,10.2,2.88,54.5,1.21,0.188,-19.8
000626.SZ,远大控股,2018/3/31,-0.05,4.21,-1.15,65.5,1.64,1.78,-40.7
000627.SZ,天茂集团,2018/3/31,0.07,3.9,1.75,83.9,0,0.103,-8.95
000628.SZ,高新发展,2018/3/31,-0.008,2.41,-0.326,73.9,1.23,0.0461,-5.1
000629.SZ,攀钢钒钛,2018/3/31,0.0545,0.556,10.3,51.5,0.907,0.306,0
000630.SZ,铜陵有色,2018/3/31,0.02,1.67,1.16,61.2,0.996,0.368,-15.3
000631.SZ,顺发恒业,2018/3/31,0.16,2.66,6.22,52.5,2.64,0.0541,-9.4
000632.SZ,三木集团,2018/3/31,0.0246,2.75,0.898,79.4,1.14,0.205,3.24
000633.SZ,合金投资,2018/3/31,-0.0144,0.397,-3.55,84.5,2.37,0.0158,-46.7
000635.SZ,英力特,2018/3/31,0.123,9.97,1.24,13.6,3.27,0.115,-28.4
000636.SZ,风华高科,2018/3/31,0.13,5.14,2.56,23.3,1.96,0.135,9.84
000637.SZ,茂化实华,2018/3/31,0.03,1.76,1.69,19.9,3.69,0.828,-20.4
000638.SZ,*ST万方,2018/3/31,-0.0257,0.826,-3.06,62.6,1.18,0.0235,-34.4
